Function                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module                   Function (Full)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              Source File        Start Address     
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ----------  -----------------------  ----------------------------  ----------------------------  --------------------------  -----------------------------  ----------------------------  ------------------  -----------------------------------------------  ----------------------------------  ------------------------  ----------------------  -------------------------------  ---------------------------------  --------------------------------  ------------------------------  ----------------------------  -----------------------  -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  -----------------  ------------------
nbnxn_kernel_ElecEw_VdwLJFSw_F_4xn                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               14466.328s               14466.328s                            0s                        1.590s                  14464.738s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  nbnxn_kernel_ElecEw_VdwLJFSw_F_4xn(nbnxn_pairlist_t const*, nbnxn_atomdata_t const*, interaction_const_t const*, float (*)[3], float*, float*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]          0xb90ef0          
PMPI_Waitall                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      1567.337s                1386.109s                            0s                        3.349s                   1382.760s                             0s                            0s            181.228s                                               0s                                  0s                  181.228s                      0s                               0s                                 0s                                0s                              0s                            0s  libmpi_mt.so             PMPI_Waitall                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 waitall.c          0x124df0          
PMPI_Sendrecv                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      767.385s                 682.551s                            0s                        2.508s                    680.044s                             0s                            0s             84.834s                                               0s                                  0s                   84.834s                      0s                               0s                                 0s                                0s                              0s                            0s  libmpi_mt.so             PMPI_Sendrecv                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                sendrecv.c         0x10a4a0          
spread_on_grid._omp_fn.1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           427.047s                 427.047s                            0s                            0s                    427.047s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  spread_on_grid._omp_fn.1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     [Unknown]          0x2215d0          
gather_f_bsplines                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  360.645s                 360.645s                            0s                        0.030s                    360.615s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  gather_f_bsplines(gmx_pme_t const*, float const*, int, pme_atomcomm_t const*, splinedata_t const*, float)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    [Unknown]          0x1fb720          
fft5d_execute                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      258.270s                 258.270s                            0s                            0s                    258.270s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  fft5d_execute(fft5d_plan_t*, int, gmx_wallcycle*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [Unknown]          0xffb8e0          
PMPI_Alltoall                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      214.854s                 201.383s                            0s                            0s                    201.383s                             0s                            0s             13.471s                                               0s                                  0s                   13.471s                      0s                               0s                                 0s                                0s                              0s                            0s  libmpi_mt.so             PMPI_Alltoall                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                alltoall.c         0x6ace0           
nbnxn_kernel_ElecEw_VdwLJFSw_VF_4xn                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                196.284s                 196.284s                            0s                        0.030s                    196.254s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  nbnxn_kernel_ElecEw_VdwLJFSw_VF_4xn(nbnxn_pairlist_t const*, nbnxn_atomdata_t const*, interaction_const_t const*, float (*)[3], float*, float*, float*, float*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]          0xb96600          
nbnxn_kernel_prune_4xn                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             154.123s                 154.123s                            0s                            0s                    154.123s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  nbnxn_kernel_prune_4xn(nbnxn_pairlist_t*, nbnxn_atomdata_t const*, float const (*)[3], float)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                [Unknown]          0xd228a0          
nbnxn_make_pairlist_part                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           150.001s                 150.001s                            0s                            0s                    150.001s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  nbnxn_make_pairlist_part(nbnxn_search*, nbnxn_grid_t const*, nbnxn_grid_t const*, nbnxn_search_work_t*, nbnxn_atomdata_t const*, t_blocka const&, float, int, int, int, int, int, float, int, int, nbnxn_pairlist_t*, t_nblist*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [Unknown]          0xf7f0e0          
PMPI_Recv                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          130.494s                 117.875s                            0s                        0.630s                    117.245s                             0s                            0s             12.620s                                               0s                                  0s                   12.620s                      0s                               0s                                 0s                                0s                              0s                            0s  libmpi_mt.so             PMPI_Recv                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    recv.c             0xfa8f0           
solve_pme_yzx                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      103.860s                 103.860s                            0s                            0s                    103.860s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  solve_pme_yzx(gmx_pme_t const*, t_complex*, float, int, int, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [Unknown]          0x2145c0          
PMPI_Bcast                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          77.059s                  67.834s                            0s                        2.362s                     65.473s                             0s                            0s              9.224s                                               0s                                  0s                    9.224s                      0s                               0s                                 0s                                0s                              0s                            0s  libmpi_mt.so             PMPI_Bcast                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   bcast.c            0x74c20           
__memset_sse2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       76.924s                  76.924s                            0s                        0.420s                     76.504s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc-2.17.so             __memset_sse2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                [Unknown]          0x88e40           
copy_rvec_to_nbat_real                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              74.891s                  74.891s                            0s                        0.020s                     74.871s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  copy_rvec_to_nbat_real(int const*, int, int, float const (*)[3], int, float*, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [Unknown]          0xf6e790          
