Function                                                                                                                                                                                                                                                          CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module                   Function (Full)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Source File       Start Address     
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ---------  -----------------------  ----------------------------  ----------------------------  --------------------------  -----------------------------  ----------------------------  ------------------  -----------------------------------------------  ----------------------------------  ------------------------  ----------------------  -------------------------------  ---------------------------------  --------------------------------  ------------------------------  ----------------------------  -----------------------  ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ----------------  ------------------
nbnxn_kernel_ElecEw_VdwLJFSw_F_4xn                                                                                                                                                                                                                               7242.361s                7242.361s                            0s                        0.801s                   7241.561s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  nbnxn_kernel_ElecEw_VdwLJFSw_F_4xn(nbnxn_pairlist_t const*, nbnxn_atomdata_t const*, interaction_const_t const*, float (*)[3], float*, float*)                                                                                                                                                                                                                                                                                                                                                 [Unknown]         0xb90ef0          
PMPI_Waitall                                                                                                                                                                                                                                                      758.538s                 670.298s                            0s                        1.997s                    668.301s                             0s                            0s             88.240s                                               0s                                  0s                   88.240s                      0s                               0s                                 0s                                0s                              0s                            0s  libmpi_mt.so             PMPI_Waitall                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   waitall.c         0x124df0          
PMPI_Sendrecv                                                                                                                                                                                                                                                     597.127s                 530.156s                            0s                        1.130s                    529.026s                             0s                            0s             66.972s                                               0s                                  0s                   66.972s                      0s                               0s                                 0s                                0s                              0s                            0s  libmpi_mt.so             PMPI_Sendrecv                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  sendrecv.c        0x10a4a0          
spread_on_grid._omp_fn.1                                                                                                                                                                                                                                          215.147s                 215.147s                            0s                            0s                    215.147s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  spread_on_grid._omp_fn.1                                                                                                                                                                                                                                                                                                                                                                                                                                                                       [Unknown]         0x2215d0          
PMPI_Recv                                                                                                                                                                                                                                                         210.223s                 185.931s                            0s                        1.319s                    184.612s                             0s                            0s             24.292s                                               0s                                  0s                   24.292s                      0s                               0s                                 0s                                0s                              0s                            0s  libmpi_mt.so             PMPI_Recv                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      recv.c            0xfa8f0           
PMPI_Alltoall                                                                                                                                                                                                                                                     186.949s                 172.936s                            0s                        0.090s                    172.846s                             0s                            0s             14.013s                                               0s                                  0s                   14.013s                      0s                               0s                                 0s                                0s                              0s                            0s  libmpi_mt.so             PMPI_Alltoall                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  alltoall.c        0x6ace0           
gather_f_bsplines                                                                                                                                                                                                                                                 178.233s                 178.233s                            0s                        0.050s                    178.183s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  gather_f_bsplines(gmx_pme_t const*, float const*, int, pme_atomcomm_t const*, splinedata_t const*, float)                                                                                                                                                                                                                                                                                                                                                                                      [Unknown]         0x1fb720          
fft5d_execute                                                                                                                                                                                                                                                     133.236s                 133.236s                            0s                        0.020s                    133.216s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  fft5d_execute(fft5d_plan_t*, int, gmx_wallcycle*)                                                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]         0xffb8e0          
PMPI_Bcast                                                                                                                                                                                                                                                        101.466s                  88.963s                            0s                        3.390s                     85.574s                             0s                            0s             12.503s                                               0s                                  0s                   12.503s                      0s                               0s                                 0s                                0s                              0s                            0s  libmpi_mt.so             PMPI_Bcast                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     bcast.c           0x74c20           
nbnxn_kernel_ElecEw_VdwLJFSw_VF_4xn                                                                                                                                                                                                                                97.994s                  97.994s                            0s                            0s                     97.994s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  nbnxn_kernel_ElecEw_VdwLJFSw_VF_4xn(nbnxn_pairlist_t const*, nbnxn_atomdata_t const*, interaction_const_t const*, float (*)[3], float*, float*, float*, float*)                                                                                                                                                                                                                                                                                                                                [Unknown]         0xb96600          
nbnxn_kernel_prune_4xn                                                                                                                                                                                                                                             78.085s                  78.085s                            0s                            0s                     78.085s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgromacs_mpi.so.3.3.0  nbnxn_kernel_prune_4xn(nbnxn_pairlist_t*, nbnxn_atomdata_t const*, float const (*)[3], float)                                                                                                                                                                                                                                                                                                                                                                                                  [Unknown]         0xd228a0          
