Function                                                                                                                                                                                                                                                                                                                                                                                                                                                                         CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Overhead Time  Module                   Function (Full)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     Source File       Start Address     
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ----------  -----------------------  ----------------------------  ----------------------------  --------------------------  -----------------------------  ----------------------------  ------------------  ----------------------  -----------------------  --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ----------------  ------------------
nbnxn_kernel_ElecEw_VdwLJFSw_F_4xn                                                                                                                                                                                                                                                                                                                                                                                                                                             28841.482s               28841.482s                            0s                            0s                  28841.482s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  nbnxn_kernel_ElecEw_VdwLJFSw_F_4xn(nbnxn_pairlist_t const*, nbnxn_atomdata_t const*, interaction_const_t const*, float (*)[3], float*, float*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      [Unknown]         0xb90ef0          
PMPI_Waitall                                                                                                                                                                                                                                                                                                                                                                                                                                                                    2922.013s                2922.013s                            0s                        0.020s                   2921.993s                             0s                            0s                  0s                      0s  libmpi_mt.so             PMPI_Waitall                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        waitall.c         0x124df0          
PMPI_Sendrecv                                                                                                                                                                                                                                                                                                                                                                                                                                                                   1082.755s                1082.755s                            0s                            0s                   1082.755s                             0s                            0s                  0s                      0s  libmpi_mt.so             PMPI_Sendrecv                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       sendrecv.c        0x10a4a0          
spread_on_grid._omp_fn.1                                                                                                                                                                                                                                                                                                                                                                                                                                                         854.523s                 854.523s                            0s                            0s                    854.523s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  spread_on_grid._omp_fn.1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [Unknown]         0x2215d0          
gather_f_bsplines                                                                                                                                                                                                                                                                                                                                                                                                                                                                798.193s                 798.193s                            0s                            0s                    798.193s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  gather_f_bsplines(gmx_pme_t const*, float const*, int, pme_atomcomm_t const*, splinedata_t const*, float)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [Unknown]         0x1fb720          
fft5d_execute                                                                                                                                                                                                                                                                                                                                                                                                                                                                    640.097s                 640.097s                            0s                            0s                    640.097s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  fft5d_execute(fft5d_plan_t*, int, gmx_wallcycle*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [Unknown]         0xffb8e0          
nbnxn_kernel_ElecEw_VdwLJFSw_VF_4xn                                                                                                                                                                                                                                                                                                                                                                                                                                              392.723s                 392.723s                            0s                            0s                    392.723s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  nbnxn_kernel_ElecEw_VdwLJFSw_VF_4xn(nbnxn_pairlist_t const*, nbnxn_atomdata_t const*, interaction_const_t const*, float (*)[3], float*, float*, float*, float*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     [Unknown]         0xb96600          
nbnxn_kernel_prune_4xn                                                                                                                                                                                                                                                                                                                                                                                                                                                           305.901s                 305.901s                            0s                            0s                    305.901s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  nbnxn_kernel_prune_4xn(nbnxn_pairlist_t*, nbnxn_atomdata_t const*, float const (*)[3], float)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       [Unknown]         0xd228a0          
nbnxn_make_pairlist_part                                                                                                                                                                                                                                                                                                                                                                                                                                                         298.137s                 298.137s                            0s                            0s                    298.137s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  nbnxn_make_pairlist_part(nbnxn_search*, nbnxn_grid_t const*, nbnxn_grid_t const*, nbnxn_search_work_t*, nbnxn_atomdata_t const*, t_blocka const&, float, int, int, int, int, int, float, int, int, nbnxn_pairlist_t*, t_nblist*)                                                                                                                                                                                                                                                                                                                                                                                                                    [Unknown]         0xf7f0e0          
PMPI_Alltoall                                                                                                                                                                                                                                                                                                                                                                                                                                                                    225.877s                 225.877s                            0s                            0s                    225.877s                             0s                            0s                  0s                      0s  libmpi_mt.so             PMPI_Alltoall                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       alltoall.c        0x6ace0           
PMPI_Recv                                                                                                                                                                                                                                                                                                                                                                                                                                                                        223.331s                 223.331s                            0s                        0.030s                    223.301s                             0s                            0s                  0s                      0s  libmpi_mt.so             PMPI_Recv                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           recv.c            0xfa8f0           
solve_pme_yzx                                                                                                                                                                                                                                                                                                                                                                                                                                                                    206.910s                 206.910s                            0s                            0s                    206.910s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  solve_pme_yzx(gmx_pme_t const*, t_complex*, float, int, int, int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [Unknown]         0x2145c0          
settleTemplate<gmx::SimdFloat, gmx::SimdFBool, (int)8, float const*, (bool)1, (bool)0>.isra.4                                                                                                                                                                                                                                                                                                                                                                                    155.138s                 155.138s                            0s                            0s                    155.138s                             0s                            0s                  0s                      0s  libgromacs_mpi.so.3.3.0  void settleTemplate<gmx::SimdFloat, gmx::SimdFBool, (int)8, float const*, (bool)1, (bool)0>(gmx_settledata*, int, int, float const*, float const*, float*, float, float*, float (*)[3], bool*).isra.4                                                                                                                                                                                                                                                                                                                                                                                                                                               [Unknown]         0xeff600          
