"Nodes","UM cores-x","UM cores-y","NEMO cores-i","NEMO cores-j","Time"
189,48,37,24,36,1491
189,48,37,24,36,1484
189,48,37,24,36,1620
189,48,37,24,36,1561
189,48,37,24,36,1639
152,60,37,24,36,1883
152,60,37,24,36,1680
152,60,37,24,36,1934
152,60,37,24,36,1720
152,60,37,24,36,1791
276,60,47,24,36,1484
276,60,47,24,36,1529
276,60,47,24,36,1528
276,60,47,24,36,1519
276,60,47,24,36,1361
298,60,47,33,42,1770
298,60,47,33,42,1603
298,60,47,33,42,1557
298,60,47,33,42,1459
298,60,47,33,42,1506
211,48,37,33,42,1924
211,48,37,33,42,1578
211,48,37,33,42,1610
211,48,37,33,42,1572
211,48,37,33,42,1716
168,48,37,12,18,1777
168,48,37,12,18,1770
168,48,37,12,18,1830
168,48,37,12,18,1785
168,48,37,12,18,1843
